Media Sources,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Text,Tweet ID,Date,Time_diff,Tweets Ago
New York Times,0.7351,0.267,0.733,0.0,"Even amid #MeToo and #OscarsSoWhite — and celebrated films like “Wonder Woman,” “Black Panther” and “Call Me by You… https://t.co/XluOHvntxi",1025122841866448896,2018-08-02 20:55:06,0.2658333333333333,98
New York Times,-0.5106,0.0,0.751,0.249,A lawsuit alleges New York is denying medically necessary treatments for thousands of low-income residents https://t.co/80KhW4WQVw,1025122830730620928,2018-08-02 20:55:03,0.0008333333333333334,99
New York Times,-0.6369,0.0,0.755,0.245,The young Parisian woman who confronted her harasser in a widely viewed video has started a website and a Facebook… https://t.co/ePoz7fZmUV,1025119082612441097,2018-08-02 20:40:09,0.24833333333333332,100
Fox News,0.4168,0.122,0.878,0.0,".@AriFleischer on the economy: ""Inflation, unless it's rampant, doesn't hurt you as much as if your wages are not g… https://t.co/RItY1SsoAG",1024728095784357888,2018-08-01 18:46:31,0.0,1
Fox News,0.0,0.0,1.0,0.0,President @realDonaldTrump is set to propose a 25-percent tariff on $200 billion of imported Chinese goods;… https://t.co/YzcySKD4gd,1024726414183022592,2018-08-01 18:39:50,0.11138888888888888,2
Fox News,0.0,0.0,1.0,0.0,State pension deficits - as of fiscal year 2016. https://t.co/l0B5tsW2Xx,1024725925995470848,2018-08-01 18:37:53,0.0325,3
Fox News,-0.7184,0.0,0.769,0.231,"""I just got tired of how broken Washington is. You know, my view from 18,000 feet over Syria, Iraq and Afghanistan… https://t.co/b0ZEFqMYRH",1024725502345596928,2018-08-01 18:36:12,0.028055555555555556,4
Fox News,-0.2344,0.148,0.621,0.231,"Mom given emergency C-section without anesthesia, lawsuit claims https://t.co/5ggPnriLzc",1024723098468331522,2018-08-01 18:26:39,0.15916666666666668,5
Fox News,-0.4939,0.0,0.856,0.144,".@ChrisStirewalt on Obama not endorsing red state Dems: ""This is an arrogant thing to do...He should stand back and… https://t.co/isOh1vvowX",1024721755859025920,2018-08-01 18:21:19,0.08888888888888889,6
Fox News,0.0,0.0,1.0,0.0,NJ brothers find 5 coveted 1952 Mickey Mantle cards in old collection https://t.co/Z0IbQAb5RS,1024720919288324098,2018-08-01 18:18:00,0.05527777777777778,7
